medcode,readcode,readterm
12479,1Z13.00,Chronic kidney disease stage 4
12566,1Z12.00,Chronic kidney disease stage 3
12585,1Z14.00,Chronic kidney disease stage 5
94793,1Z1B.00,Chronic kidney disease stage 3 with proteinuria
94965,1Z15.00,Chronic kidney disease stage 3A
95122,1Z1H.00,Chronic kidney disease stage 4 with proteinuria
95123,1Z1C.00,Chronic kidney disease stage 3 without proteinuria
95175,1Z1E.00,Chronic kidney disease stage 3A without proteinuria
95177,1Z1G.00,Chronic kidney disease stage 3B without proteinuria
95178,1Z1F.00,Chronic kidney disease stage 3B with proteinuria
95179,1Z16.00,Chronic kidney disease stage 3B
95405,1Z1L.00,Chronic kidney disease stage 5 without proteinuria
95406,1Z1J.00,Chronic kidney disease stage 4 without proteinuria
95408,1Z1D.00,Chronic kidney disease stage 3A with proteinuria
95508,1Z1K.00,Chronic kidney disease stage 5 with proteinuria
105151,K055.00,Chronic kidney disease stage 5
