prodcode,productname,bnfcode
44,Prednisolone 5mg gastro-resistant tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
95,Prednisolone 5mg tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
186,Dexamethasone 500micrograms/5ml oral solution,03010000/04065300/06030200
229,Cortisone 25mg tablets,06030200
557,Prednisolone 2.5mg gastro-resistant tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
578,Prednisolone 1mg tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
768,Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd),06030200/10010202
925,Depo-medrone with lidocaine 40mg/ml+10mg/ml Injection (Pharmacia Ltd),06030200/10010202
955,Prednisolone 5mg soluble tablets,01050200/03020000/05011000/05040800/06030200/08020200/10010201
1063,Prednesol 5mg Tablet (Sovereign Medical Ltd),06030200
1133,Depo-medrone 40mg/ml Injection (Pharmacia Ltd),06030200/10010202
1280,Dexamethasone 2mg tablets,06030200/64090000
1971,Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd),06030200
2130,Methylprednisolone 4mg tablets,06030200
2368,Prednisolone 2.5mg tablet,06030200
2615,Efcortesol 100mg/ml Injection (Sovereign Medical Ltd),06030100/06030200
2704,Prednisolone 25mg tablets,01050200/03020000/06030200/08020200/10010201
2949,Prednisone 5mg tablets,06030200
3345,Sintisone Tablet (Pharmacia Ltd),01050200/06030200
3418,Hydrocortisone 10mg tablets,06030200
3557,Prednisone 1mg tablets,06030200
3651,Solu-cortef 100mg/vial Injection (Pharmacia Ltd),06030100/06030200
3703,Kenalog 80mg/2ml Intramuscular injection (E R Squibb and Sons Ltd),06030200/10010202
3754,Hydrocortisone na succinate 100mg/vial Injection,06030100/06030200
3992,Deflazacort 6mg tablets,06030200
4123,Kenalog 40mg/ml Intraarticular injection (E R Squibb and Sons Ltd),06030200/10010202
4125,Triamcinolone acetonide 80mg/2ml intramuscular injection,06030200/10010202
4233,Dexamethasone sodium phosphate 4mg/ml injection,06030200/10010202
4488,Triamcinolone acetonide 40mg/ml IA/IM,06030200/10010202
4535,Hydrocortisone 20mg tablets,06030200
4687,Methylprednisolone acetate with lidocaine 40mg/ml + 10mg/ml Injection,06030200/10010202
4779,Dexamethasone 500microgram tablets,06030200/64090000
4943,Dexamethasone 2mg/5ml oral solution sugar free,03010000/04065300/06030200
5157,Dexamethasone 2mg/5ml oral solution,06030200
5490,Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
5493,Methylprednisolone acetate 40mg/ml Injection,06030200/10010202
5913,Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),01050200/03020000/05011000/05040800/06030200/08020200/10010201
6098,Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd),06030200
7286,Betamethasone 500microgram soluble tablets sugar free,06030200
7548,Cortisone 5mg capsules,06030200
8261,Medrone 16mg tablets (Pfizer Ltd),06030200
9375,Deflazacort 1mg tablets,06030200
9574,Hydrocortisone na phosphate 100mg/ml Injection,06030100/06030200
9994,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd),06030200/64090000
10552,Methylprednisolone 16mg tablets,06030200
10574,Cortisone acetate 5mg tablets,06030100/06030200
10657,Dexamethasone sodium phosphate 4mg/ml intra-artic injection,06030200/10010202
10683,Medrone 2mg tablets (Pfizer Ltd),06030200
10684,Methylprednisolone 2mg tablets,06030200
10754,Hydrocortistab 20mg Tablet (Waymade Healthcare Plc),06030100/06030200
10864,Betamethasone 500microgram tablets,06030200
11149,Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd),06030200
11334,Dexamethasone sodium phosphate iv 4mg/ml injection,06030200/10010202
12398,Cortelan 25mg Tablet (Glaxo Laboratories Ltd),06030100/06030200
12400,Cortisyl 25mg Tablet (Aventis Pharma),06030100/06030200
12405,Methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials,06030200/10010202
13043,Hydrocortone 20mg tablets (Auden McKenzie (Pharma Division) Ltd),06030200
13350,Hydrocortisone na succinate 500mg/vial Injection,06030100/06030200
13397,Methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials,06030200/10010202
13952,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),06030200/10010202
13972,Dexamethasone sodium phosphate 5mg/ml injection,06030200/10010202
14076,Hydrocortisone 5mg/5ml Oral solution,06030100/06030200
14172,Methylprednisolone 100mg tablets,06030200
14188,Methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials,06030200/10010202
14906,Dexamethasone 4mg/1ml solution for injection ampoules,06030200/10010202
14982,Depo-Medrone 40mg/1ml suspension for injection vials (Pfizer Ltd),06030200/10010202
15555,Medrone 4mg tablets (Pfizer Ltd),06030200
15617,Ledercort 4mg Tablet (Wyeth Pharmaceuticals),06030200
15717,Betamethasone 4mg/1ml solution for injection ampoules,06030200/10010202
16582,Triamcinolone acetonide 40mg/ml suspension for injection,06030200/10010202
16583,Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials (Bristol-Myers,06030200/10010202
18042,Medrone 100mg tablets (Pfizer Ltd),06030200
18266,Methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials,06030200/10010202
18637,Cortistab 25mg Tablet (Waymade Healthcare Plc),06030100/06030200
18765,Methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials,06030200/10010202
19141,Prednisolone 5mg soluble tablets (AMCo),01050200/03020000/05011000/05040800/06030200/08020200/10010201
19259,Dexamethasone 8mg/2ml solution for injection vials,06030200
