medcode,readcode,readterm
240,G3...00,Ischaemic heart disease
241,G30..00,Acute myocardial infarction
504,G65..00,Transient cerebral ischaemia
569,G64..12,Infarction - cerebral
1195,F423600,Amaurosis fugax
1204,G30..14,Heart attack
1298,G66..11,CVA unspecified
1344,G340.12,Coronary artery disease
1414,G33z300,Angina on effort
1430,G33..00,Angina pectoris
1431,G311.13,Unstable angina
1433,G65..12,Transient ischaemic attack
1469,G66..00,Stroke and cerebrovascular accident unspecified
1655,G340.11,Triple vessel disease of the heart
1676,G3z..00,Ischaemic heart disease NOS
1677,G30..15,MI - acute myocardial infarction
1678,G308.00,Inferior myocardial infarction NOS
1792,G3...13,IHD - Ischaemic heart disease
1895,G65z.00,Transient cerebral ischaemia NOS
2417,G65..13,Vertebro-basilar insufficiency
2491,G30..12,Coronary thrombosis
3132,G65..11,Drop attack
3149,G64z.00,Cerebral infarction NOS
3704,G307.00,Acute subendocardial infarction
3999,G340000,Single coronary vessel disease
4017,G32..00,Old myocardial infarction
4656,G311.11,Crescendo angina
5185,G64z111,Lateral medullary syndrome
5254,G340100,Double coronary vessel disease
5268,G650.11,Insufficiency - basilar artery
5363,G64..11,CVA - cerebral artery occlusion
5387,G301.00,Other specified anterior myocardial infarction
5413,G340.00,Coronary atherosclerosis
5602,G64z.12,Cerebellar infarction
6116,G66..13,CVA - Cerebrovascular accident unspecified
6155,G64..13,Stroke due to cerebral arterial occlusion
6253,G66..12,Stroke unspecified
7320,G343.00,Ischaemic cardiomyopathy
7347,G311100,Unstable angina
7696,G33z200,Syncope anginosa
7780,G667.00,Left sided CVA
8837,G64..00,Cerebral arterial occlusion
8935,G302.00,Acute inferolateral infarction
9276,G31y000,Acute coronary insufficiency
9413,G31y.00,Other acute and subacute ischaemic heart disease
9507,G307000,Acute non-Q wave infarction
9555,G33z500,Post infarct angina
9985,G64z200,Left sided cerebral infarction
10504,G64z300,Right sided cerebral infarction
10562,G307100,Acute non-ST segment elevation myocardial infarction
10794,G656.00,Vertebrobasilar insufficiency
11048,G331.11,Variant angina pectoris
11983,G311500,Acute coronary syndrome
12139,G300.00,Acute anterolateral infarction
12229,G30X000,Acute ST segment elevation myocardial infarction
12804,G33z700,Stable angina
12833,G668.00,Right sided CVA
12986,G331.00,Prinzmetal's angina
13566,G30..11,Attack - heart
13571,G30..16,Thrombosis - coronary
14658,G30z.00,Acute myocardial infarction NOS
14897,G301z00,Anterior myocardial infarction NOS
14898,G305.00,Lateral myocardial infarction NOS
15019,G641.00,Cerebral embolism
15252,G64z.11,Brainstem infarction NOS
15661,G310.11,Dressler's syndrome
15754,G34z.00,Other chronic ischaemic heart disease NOS
15788,G65zz00,Transient cerebral ischaemia NOS
16408,G32..11,Healed myocardial infarction
16507,G65z100,Intermittent cerebral ischaemia
16517,G640.00,Cerebral thrombosis
17133,G30A.00,Mural thrombosis
17307,G311200,Angina at rest
17464,G32..12,Personal history of myocardial infarction
17689,G30..17,Silent myocardial infarction
17872,G301100,Acute anteroseptal infarction
