prodcode,productname,gemscriptcode
10083,Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd),86971020
10413,Sinequan 10mg capsules (Pfizer Ltd),55464020
10649,IMIPRAMINE 75 MG TAB,04845007
10787,Parnate 10mg Tablet (Goldshield Pharmaceuticals Ltd),51010020
10948,Dosulepin 75mg/5ml oral solution sugar free,54727020
114,Lofepramine 70mg tablets,64034020
1169,Prothiaden 25mg capsules (Teofarma),55456020
11956,Norval 20mg Tablet (Bencard),50775020
11963,Limbitrol 10 Capsule (Roche Products Ltd),54655020
1208,Triptafen tablets (AMCo),52046020
12123,Faverin 100mg tablets (BGP Products Ltd),62074020
12125,Sinequan 50mg capsules (Pfizer Ltd),55466020
12129,Sinequan 25mg capsules (Pfizer Ltd),55465020
12192,Norval 30mg Tablet (Bencard),50776020
12194,NORTRIPTYLINE 10 MG ELI,05750007
12207,Isocarboxazid 10mg tablets,63638020
1222,Venlafaxine 75mg tablets,54687020
12221,Pacitron 500mg Tablet (Rorer Pharmaceuticals Ltd),50957020
12368,Norval 10mg Tablet (Bencard),50774020
12503,Marplan 10mg Tablet (Cambridge Laboratories Ltd),50286020
12710,Trazodone 150mg modified-release tablets,67157020
1310,Imipramine 10mg tablets,59429020
13237,Venlafaxine 37.5mg/5ml oral suspension,89954020
13621,Molipaxin CR 150mg tablets (Aventis Pharma),54780020
1397,Paroxetine 30mg tablets,72933020
14519,Sinequan 75mg capsules (Pfizer Ltd),55469020
14521,SINEQUAN 15 MG TAB,01972007
1453,Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd),52047020
14534,Limbitrol 5 Capsule (Roche Products Ltd),50198020
14578,Nortriptyline 30mg / Fluphenazine 1.5mg tablets,68990020
1474,Efexor XL 75mg capsules (Pfizer Ltd),85163020
14740,Oxactin 20mg capsules (Discovery Pharmaceuticals),80679020
15163,Edronax 4mg tablets (Pfizer Ltd),84961020
15268,Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd),87482020
15632,Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd),56699020
1575,Seroxat 30mg tablets (GlaxoSmithKline UK Ltd),72938020
1612,Lustral 50mg tablets (Pfizer Ltd),74046020
16154,Mirtazapine 15mg/ml oral solution sugar free,87990020
16323,Perphenazine 2mg with Amitriptyline 10mg tablet,65592020
1712,Cipramil 20mg tablets (Lundbeck Ltd),79420020
1730,Trazodone 100mg capsules,67152020
1809,Imipramine 25mg tablets,59430020
182,Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd),55445020
18342,Amitriptyline 25mg / Chlordiazepoxide 10mg capsules,68725020
1888,Amitriptyline 50mg tablets,58951020
19168,Dosulepin 25mg/5ml mixture,54728020
19181,Trazodone 100mg capsules (Mylan Ltd),62912020
19183,Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd),61084020
19186,Dosulepin 75mg tablets (Actavis UK Ltd),56943020
1940,Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd),56698020
19470,Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd),63016020
19779,Amitriptyline 10mg/ml injection,60229020
20026,Domical 25mg Tablet (Berk Pharmaceuticals Ltd),55363020
20152,Escitalopram 10mg/ml oral drops sugar free,90871020
2039,Trimipramine 25mg tablets,67281020
20504,Optimax wv Tablet (E. Merck),54978020
20571,Fluphenazine with nortriptyline 500microgramswith10mg Tablet,62045020
20715,LIMBITROL 5,!4097101
2093,Gamanil 70mg tablets (Merck Serono Ltd),55432020
21081,Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules,68724020
21157,Thaden 75mg tablets (Opus Pharmaceuticals Ltd),84817020
21819,Prepadine 75mg tablets (Teva UK Ltd),57111020
21820,Prepadine 25mg capsules (Teva UK Ltd),57110020
22,Fluoxetine 20mg capsules,69654020
22070,Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),55688020
2290,Fluvoxamine 100mg tablets,62070020
2320,Prothiaden 75mg tablets (Teofarma),55457020
23334,FAVERIN,!2497701
23426,Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd),49588020
2356,Reboxetine 4mg tablets,84955020
2408,Cipramil 40mg tablets (Lundbeck Ltd),79422020
24134,Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd),48517020
24141,Amitriptyline 10mg tablets (Actavis UK Ltd),48507020
24145,Amitriptyline 25mg tablets (Actavis UK Ltd),48508020
24147,Amitriptyline 25mg tablets (Teva UK Ltd),48480020
24152,Amitriptyline 10mg tablets (Teva UK Ltd),48479020
24680,Elavil 10mg Tablet (DDSA Pharmaceuticals Ltd),59132020
24890,Trifluoperazine with tranylcypromine 1mg + 10mg Tablet,69003020
25045,TRIMIPRAMINE,!7275101
25085,TRIMIPRAMINE,!7275103
252,Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd),69507020
2525,Amitriptyline 75mg modified-release capsules,60224020
2531,Surmontil 50mg capsules (Sanofi),55418020
2532,Surmontil 25mg tablets (Sanofi),55417020
2533,TRIMIPRAMINE 50 MG TAB,01787007
25444,Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd),84171020
2548,Fluoxetine 20mg/5ml oral solution,69655020
2579,Tofranil 10mg Tablet (Novartis Pharmaceuticals UK Ltd),55402020
26016,Citalopram 20mg tablets (Sandoz Ltd),65128020
26056,Cipralex 10mg/ml oral drops (Lundbeck Ltd),90873020
2617,Venlafaxine 50mg tablets,54688020
26213,Domical 10mg Tablet (Berk Pharmaceuticals Ltd),55362020
2654,Venlafaxine 150mg modified-release capsules,85109020
27008,Domical 50mg Tablet (Berk Pharmaceuticals Ltd),55364020
27565,FLUANXOL,!2619101
2880,Fluvoxamine 50mg tablets,62069020
2883,Moclobemide 150mg tablets,72031020
2897,Faverin 50mg tablets (BGP Products Ltd),62073020
29339,Trazodone 50mg capsules (Mylan Ltd),62911020
29756,Paxoran 20mg Tablet (Ranbaxy (UK) Ltd),88348020
29786,Ranflutin 20mg capsules (Ranbaxy (UK) Ltd),82055020
29857,Trazodone 150mg tablets (Teva UK Ltd),62363020
