medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm
324,E2B..,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Depressive disorder NEC
543,Eu32z,Read V2,DEPR_COD,Depression diagnosis codes,100.0,"[X]Depressive episode, unspecified"
595,E112.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Single major depressive episode
655,E2003,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Anxiety with depression
1055,E135.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Agitated depression
2970,Eu32z,Read V2,DEPR_COD,Depression diagnosis codes,100.0,"[X]Depressive episode, unspecified"
3291,Eu32z,Read V2,DEPR_COD,Depression diagnosis codes,100.0,"[X]Depressive episode, unspecified"
3292,Eu33.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Recurrent depressive disorder
4323,E2B1.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Chronic depression
4639,Eu32.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Depressive episode
5879,E112.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Single major depressive episode
5987,Eu32z,Read V2,DEPR_COD,Depression diagnosis codes,100.0,"[X]Depressive episode, unspecified"
6482,E1137,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Recurrent depression
6546,E112.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Single major depressive episode
6854,Eu32y,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Other depressive episodes
6932,E113.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Recurrent major depressive episode
6950,E112.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Single major depressive episode
7011,E112z,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Single major depressive episode NOS
7604,Eu32.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Depressive episode
7737,Eu341,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Dysthymia
7749,Eu412,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Mixed anxiety and depressive disorder
7953,Eu341,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Dysthymia
8478,E130.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,Reactive depressive psychosis
8584,Eu341,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Dysthymia
8826,Eu33.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Recurrent depressive disorder
8851,Eu33.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Recurrent depressive disorder
8902,Eu33.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Recurrent depressive disorder
9055,Eu32.,Read V2,DEPR_COD,Depression diagnosis codes,100.0,[X]Depressive episode
