prodcode,productname,bnfcode
554,Sildenafil 50mg tablets,07040500
704,Sildenafil 25mg tablets,07040500
794,Tadalafil 10mg tablets,07040501
1255,Muse 500microgram urethral sticks (Meda Pharmaceuticals Ltd),07040500
1257,Sildenafil 100mg tablets,07040500
1452,Viagra 25mg tablets (Pfizer Ltd),07040500
1456,Viagra 50mg tablets (Pfizer Ltd),07040500
1611,Muse 1000microgram urethral sticks (Meda Pharmaceuticals Ltd),07040500
1732,Viagra 100mg tablets (Pfizer Ltd),07040500
2270,Caverject 20microgram powder and solvent for solution for injection vials (Pfizer Ltd),07040500
2727,Muse 250microgram urethral sticks (Meda Pharmaceuticals Ltd),07040500
2847,Caverject 5microgram powder and solvent for solution for injection vials (Pfizer Ltd),07040500
3066,Papaverine 40mg/ml injection,07040500
5023,Alprostadil 20micrograms injection,07040500
5064,Alprostadil 40micrograms injection,07040500
5066,Alprostadil 500microgram urethral sticks,07040500
5702,Caverject 10microgram powder and solvent for solution for injection vials (Pfizer Ltd),07040500
5794,Muse 125microgram urethral sticks (Meda Pharmaceuticals Ltd),07040500
5881,Alprostadil 1mg urethral sticks,07040500
5928,Caverject Dual Chamber 10microgram powder and solvent for solution for injection (Pfizer Ltd),07040500
6015,Cialis 10mg tablets (Eli Lilly and Company Ltd),07040501
6133,Caverject 40microgram powder and solvent for solution for injection vials (Pfizer Ltd),07040500
6148,Cialis 20mg tablets (Eli Lilly and Company Ltd),07040501
6203,Vardenafil 5mg tablets,07040500
6214,Vardenafil 10mg tablets,07040500
6457,Levitra 10mg tablets (Bayer Plc),07040500
6777,Levitra 20mg tablets (Bayer Plc),07040500
6809,Vardenafil 20mg tablets,07040500
7028,Yohimbine 5mg tablets,07040500
7047,Viridal duo 10microgram Injection (UCB Pharma Ltd),07040500
7204,Viridal duo 20microgram Injection (UCB Pharma Ltd),07040500
9527,Alprostadil 125microgram urethral sticks,07040500
9531,Alprostadil 250microgram urethral sticks,07040500
10850,Papaverine 30mg injection,07040500
10938,Alprostadil 10micrograms injection,07040500
11141,Alprostadil 10micrograms injection,07040500
11518,Alprostadil 20micrograms injection,07040500
11673,Caverject Dual Chamber 20microgram powder and solvent for solution for injection (Pfizer Ltd),07040500
12617,Viridal 20microgram Injection (Schwarz Pharma Ltd),07040500
14860,Levitra 5mg tablets (Bayer Plc),07040500
15119,Alprostadil 5microgram powder and solvent for solution for injection vials,07040500
15965,Viridal duo 40microgram Injection (UCB Pharma Ltd),07040500
18035,Papaverine 80mg injection,07040500
18766,Yohimbine with pemoline & methyl testosterone,07040500
18773,Prowess capsules (Harley Street Supplies Ltd),07040500
22712,Viridal 10microgram Injection (Schwarz Pharma Ltd),07040500
23635,Viridal 5microgram Injection (Schwarz Pharma Ltd),07040500
24044,Moxisylyte hcl 20mg/ml injection,07040500
24871,Moxisylyte hcl 10mg/ml injection,07040500
24872,Erecnos 10mg/ml Injection (Fournier Pharmaceuticals Ltd),07040500
25010,Alprostadil 40micrograms injection,07040500
25749,Erecnos 20mg/ml Injection (Fournier Pharmaceuticals Ltd),07040500
26061,Papaverine 40mg/1ml hydrochloride,07040500
27023,Papaverine 4% injection,07040500
27259,Papaverine 60mg/1ml hydrochloride,07040500
28026,Papaverine 25mg/1ml hydrochloride,07040500
