medcode,readcode,desc
17762,R090D00,[D]Abdominal migraine
53813,Fyu5300,[X]Other migraine
2861,F262200,Abdominal migraine
6433,1967,Abdominal migraine - symptom
9633,F261000,Atypical migraine
9004,F262300,Basilar migraine
3220,F260.00,Classical migraine
2554,F262000,Cluster headache
2424,F261.00,Common migraine
41497,F261z00,Common migraine NOS
27930,F26y300,Complicated migraine
103451,1474000,H/O migraine with aura
5029,1474,H/O: migraine
3658,F26y000,Hemiplegic migraine
161,F26..00,Migraine
11138,K584.11,Migraine - menstrual
103973,F262800,Migraine induced by oestrogen contraceptive
14700,F26z.00,Migraine NOS
23621,F262z00,Migraine variant NOS
5509,F262.00,Migraine variants
103502,F260.11,Migraine with aura
103602,F261.11,Migraine without aura
65262,F26y111,Moebius' ophthalmoplegic migraine
10583,F262400,Ophthalmic migraine
12511,F26y100,Ophthalmoplegic migraine
28031,F26y.00,Other forms of migraine
28092,F26yz00,Other forms of migraine NOS
