medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm
844,N040.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis
5723,N0422,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid nodule
6916,N040P,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Seronegative rheumatoid arthritis
8350,N040T,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Flare of rheumatoid arthritis
9707,N047.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Seropositive errosive rheumatoid arthritis
12019,N04X.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,"Seropositive rheumatoid arthritis, unspecified"
18155,N040Q,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid bursitis
21358,N0402,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of shoulder
23552,N041.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Felty's syndrome
28853,N04y0,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid lung
30548,N040N,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid vasculitis
31054,N040S,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis - multiple joint
31724,N04y0,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid lung
32001,N04y2,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Adult-onset Still's disease
37431,N042z,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthropathy with visceral or systemic involvement NOS
41941,N0409,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of proximal interphalangeal joint of finger
42299,N0408,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of metacarpophalangeal joint
43816,G5yA.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid carditis
44203,N0401,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Other rheumatoid arthritis of spine
44743,N0400,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of cervical spine
46436,N0421,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid lung disease
48832,N0407,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of wrist
49067,N040B,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of hip
49227,N042.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Other rheumatoid arthropathy with visceral or systemic involvement
49787,G5y8.,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid myocarditis
50863,N040D,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of knee
51238,N040K,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of 1st metatarsophalangeal joint
51239,N040F,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid arthritis of ankle
53621,N040R,Read V2,RARTH_COD,Rheumatoid arthritis codes,100.0,Rheumatoid nodule
