medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm
576,E104.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Acute schizophrenic episode
694,Eu2z.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Unspecified nonorganic psychosis
854,E10..,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Schizophrenic disorders
1494,E103.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Paranoid schizophrenia
1531,Eu31.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Bipolar affective disorder
2113,Eu220,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Delusional disorder
2117,E107.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Schizo-affective schizophrenia
2741,Eu300,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Hypomania
3636,E13z.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Nonorganic psychosis NOS
3702,E114.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,"Bipolar affective disorder, currently manic"
3890,E121.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Chronic paranoid psychosis
3984,E1002,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Chronic schizophrenic
4261,E12..,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Paranoid states
4677,E115.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,"Bipolar affective disorder, currently depressed"
4678,Eu30z,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,"[X]Manic episode, unspecified"
4732,Eu315,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,"[X]Bipolar affective disorder, current episode severe depression with psychotic symptoms"
4843,Eu220,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Delusional disorder
6710,Eu31.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Bipolar affective disorder
6874,Eu31.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Bipolar affective disorder
7332,E132.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Reactive confusion
8407,E10z.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Schizophrenia NOS
9281,E103z,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Paranoid schizophrenia NOS
9422,Eu25.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Schizoaffective disorders
9521,Eu30.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Manic episode
10575,E107z,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Schizo-affective schizophrenia NOS
11172,Eu220,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Delusional disorder
11244,Eu2z.,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,[X]Unspecified nonorganic psychosis
11596,E11y0,Read V2,MH_COD,"Psychosis, schizophrenia + bipolar affective disease codes",100.0,Unspecified manic-depressive psychoses
