medcode,readcode,Coding_ID,Cluster_ID,Cluster_Description,Cluster_Version,readterm,,,,
1549,C10E.,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus,,,,
10418,C10ED,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with nephropathy,,,,
10692,C10EM,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ketoacidosis,,,,
12455,C10E.,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus,,,,
18387,C10E7,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with retinopathy,,,,
18642,C10EH,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with arthropathy,,,,
18683,C10E5,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ulcer,,,,
22871,C10EP,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with exudative maculopathy,,,,
30294,C10EL,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with persistent microalbuminuria,,,,
30323,C10EK,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with persistent proteinuria,,,,
35288,C10E8,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus - poor control,,,,
39070,C10EE,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with hypoglycaemic coma,,,,
40682,C10E9,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus maturity onset,,,,
40837,C10EN,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ketoacidotic coma,,,,
42831,C10E2,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with neurological complications,,,,
43921,C10E4,Read V2,DM_COD,Codes for diabetes,102,Unstable type 1 diabetes mellitus,,,,
45276,C10E3,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with multiple complications,,,,
46301,C10EC,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with polyneuropathy,,,,
47582,C10E0,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with renal complications,,,,
47649,C10E1,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with ophthalmic complications,,,,
47650,C10E3,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with multiple complications,,,,
49554,C10EF,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with diabetic cataract,,,,
49949,C10E4,Read V2,DM_COD,Codes for diabetes,102,Unstable type 1 diabetes mellitus,,,,
51261,C10E.,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus,,,,
54008,C10EJ,Read V2,DM_COD,Codes for diabetes,102,Type 1 diabetes mellitus with neuropathic arthropathy,,,,
54600,C10E4,Read V2,DM_COD,Codes for diabetes,102,Unstable type 1 diabetes mellitus,,,,
